bid_id,tender_id,vendor_id,bid_amount,submission_time,is_winner
BID000001,TEN0001,VEN0026,655000,2024-06-18 10:18:50,True
BID000002,TEN0001,VEN0049,781000,2024-07-08 15:41:19,False
BID000003,TEN0001,VEN0060,793000,2024-06-29 12:08:23,False
BID000004,TEN0001,VEN0106,761000,2024-06-29 16:17:11,False
BID000005,TEN0001,VEN0059,914000,2024-06-02 13:38:50,False
BID000006,TEN0001,VEN0099,902000,2024-06-17 11:54:44,False
BID000007,TEN0002,VEN0054,4252000,2024-12-17 15:10:59,False
BID000008,TEN0002,VEN0091,4653000,2024-12-05 15:09:28,False
BID000009,TEN0002,VEN0057,3997000,2024-12-27 14:48:07,True
BID000010,TEN0002,VEN0073,4337000,2024-12-06 11:23:36,False
BID000011,TEN0003,VEN0010,13216000,2022-02-27 15:33:10,True
BID000012,TEN0003,VEN0120,18705000,2022-02-22 16:33:35,False
BID000013,TEN0003,VEN0100,16402000,2022-02-18 16:41:16,False
BID000014,TEN0003,VEN0072,14974000,2022-02-14 14:16:07,False
BID000015,TEN0003,VEN0087,16143000,2022-02-14 15:42:50,False
BID000016,TEN0004,VEN0111,10155000,2021-06-16 17:50:57,True
BID000017,TEN0004,VEN0096,15170000,2021-07-08 12:33:49,False
BID000018,TEN0004,VEN0097,14907000,2021-06-19 14:11:28,False
BID000019,TEN0004,VEN0053,11154000,2021-05-28 15:57:02,False
BID000020,TEN0004,VEN0077,13898000,2021-07-12 15:50:39,False
BID000021,TEN0004,VEN0022,14165000,2021-07-13 09:34:03,False
BID000022,TEN0005,VEN0078,7883000,2024-01-03 11:09:42,False
BID000023,TEN0005,VEN0066,7737000,2024-01-10 17:19:21,False
BID000024,TEN0005,VEN0044,5731000,2024-01-10 10:22:42,False
BID000025,TEN0005,VEN0119,5708000,2024-01-01 12:06:12,True
BID000026,TEN0006,VEN0082,4295000,2023-06-07 11:51:35,False
BID000027,TEN0006,VEN0031,3762000,2023-06-06 17:32:40,True
BID000028,TEN0006,VEN0034,6041000,2023-05-07 16:32:44,False
BID000029,TEN0006,VEN0070,4922000,2023-04-26 16:14:13,False
BID000030,TEN0006,VEN0020,4630000,2023-06-02 13:10:39,False
BID000031,TEN0006,VEN0076,4517000,2023-05-20 16:50:20,False
BID000032,TEN0007,VEN0094,5692000,2023-03-05 11:11:04,False
BID000033,TEN0007,VEN0111,4045000,2023-03-19 14:33:34,True
BID000034,TEN0007,VEN0088,5267000,2023-02-28 16:07:12,False
BID000035,TEN0007,VEN0063,5060000,2023-03-12 15:36:40,False
BID000036,TEN0007,VEN0022,4723000,2023-03-14 11:37:02,False
BID000037,TEN0007,VEN0044,5460000,2023-03-10 13:43:16,False
BID000038,TEN0007,VEN0066,5436000,2023-02-24 15:15:05,False
BID000039,TEN0007,VEN0078,5009000,2023-02-21 16:40:17,False
BID000040,TEN0008,VEN0054,7109000,2023-12-04 12:47:15,True
BID000041,TEN0008,VEN0004,10343000,2023-11-23 16:04:26,False
BID000042,TEN0008,VEN0047,11206000,2023-11-26 11:53:43,False
BID000043,TEN0008,VEN0057,8393000,2023-11-14 12:08:07,False
BID000044,TEN0008,VEN0079,11836000,2023-12-25 12:10:06,False
BID000045,TEN0008,VEN0030,9506000,2023-12-04 16:49:10,False
BID000046,TEN0008,VEN0114,9948000,2023-11-27 11:14:28,False
BID000047,TEN0009,VEN0009,12693000,2023-11-03 09:53:50,False
BID000048,TEN0009,VEN0078,12842000,2023-11-08 12:21:20,True
BID000049,TEN0009,VEN0032,13020000,2023-11-20 15:01:07,False
BID000050,TEN0009,VEN0097,13900000,2023-11-01 10:18:45,False
BID000051,TEN0009,VEN0022,10679000,2023-11-18 10:34:36,False
BID000052,TEN0009,VEN0068,13051000,2023-11-21 14:55:10,False
BID000053,TEN0009,VEN0053,15656000,2023-10-30 12:24:19,False
BID000054,TEN0009,VEN0111,16564000,2023-11-16 13:51:48,False
BID000055,TEN0010,VEN0009,3002000,2023-10-14 17:50:32,False
BID000056,TEN0010,VEN0078,2699000,2023-11-10 17:53:42,False
BID000057,TEN0010,VEN0096,2789000,2023-10-31 17:58:03,False
BID000058,TEN0010,VEN0068,2439000,2023-11-02 12:28:03,False
BID000059,TEN0010,VEN0053,2105000,2023-11-15 00:00:00,True
BID000060,TEN0010,VEN0032,3027000,2023-10-28 13:32:56,False
BID000061,TEN0011,VEN0096,12980000,2021-08-05 15:03:40,False
BID000062,TEN0011,VEN0088,15495000,2021-09-14 14:12:28,False
BID000063,TEN0011,VEN0044,13530000,2021-08-06 11:41:13,False
BID000064,TEN0011,VEN0078,13641000,2021-08-06 09:15:41,False
BID000065,TEN0011,VEN0111,13938000,2021-08-20 13:41:56,False
BID000066,TEN0011,VEN0053,11436000,2021-08-12 11:27:02,False
BID000067,TEN0011,VEN0077,12637000,2021-08-15 15:19:49,False
BID000068,TEN0011,VEN0119,11170000,2021-08-28 13:20:36,True
