contract_id,tender_id,winning_vendor_id,contract_amount,contract_start_date,contract_end_date
CON0001,TEN0001,VEN0026,655000,2024-08-07,2024-11-06
CON0002,TEN0002,VEN0057,3997000,2025-01-21,2025-03-14
CON0003,TEN0003,VEN0010,13216000,2022-03-26,2023-05-20
CON0004,TEN0004,VEN0111,10155000,2021-08-05,2022-07-13
CON0005,TEN0005,VEN0119,5708000,2024-02-05,2024-07-24
CON0006,TEN0006,VEN0031,3762000,2023-07-14,2023-12-05
CON0007,TEN0007,VEN0111,4045000,2023-04-13,2024-01-09
CON0008,TEN0008,VEN0054,7109000,2024-01-28,2024-04-15
CON0009,TEN0009,VEN0078,12842000,2023-12-20,2024-05-09
CON0010,TEN0010,VEN0053,2105000,2023-12-04,2024-11-21
CON0011,TEN0011,VEN0119,11170000,2021-10-05,2022-07-07
CON0012,TEN0012,VEN0067,3172000,2022-07-21,2023-07-10
CON0013,TEN0013,VEN0047,2845000,2022-01-08,2022-03-11
CON0014,TEN0014,VEN0070,9945000,2021-06-11,2021-11-21
CON0015,TEN0015,VEN0063,9094000,2024-10-27,2025-08-06
CON0016,TEN0016,VEN0063,6815000,2021-11-05,2022-09-20
CON0017,TEN0017,VEN0080,981000,2023-05-19,2023-08-18
CON0018,TEN0018,VEN0114,1745000,2024-01-02,2024-05-13
CON0019,TEN0019,VEN0053,1949000,2021-05-05,2022-01-15
CON0020,TEN0020,VEN0114,3272000,2023-10-23,2024-01-24
CON0021,TEN0021,VEN0047,11795000,2025-01-26,2025-03-11
CON0022,TEN0022,VEN0049,1237000,2024-06-16,2024-08-22
CON0023,TEN0023,VEN0021,4856000,2022-08-18,2022-11-28
CON0024,TEN0024,VEN0098,1846000,2021-10-26,2022-02-22
CON0025,TEN0025,VEN0019,4577000,2023-06-25,2024-04-12
CON0026,TEN0026,VEN0020,777000,2023-07-22,2023-11-02
CON0027,TEN0027,VEN0092,8951000,2023-11-04,2024-02-15
CON0028,TEN0028,VEN0074,28797000,2024-03-25,2025-06-22
CON0029,TEN0029,VEN0005,3383000,2023-11-13,2024-04-16
CON0030,TEN0030,VEN0103,1890000,2023-08-15,2023-12-16
CON0031,TEN0031,VEN0093,8019000,2022-11-10,2023-08-04
CON0032,TEN0032,VEN0075,600000,2023-12-11,2024-01-20
CON0033,TEN0033,VEN0008,1269000,2024-05-13,2024-07-04
CON0034,TEN0034,VEN0036,13250000,2021-04-07,2023-02-19
CON0035,TEN0035,VEN0084,4195000,2025-02-18,2025-07-29
CON0036,TEN0036,VEN0077,558000,2021-11-22,2022-06-23
CON0037,TEN0037,VEN0083,4453000,2025-01-01,2025-08-12
CON0038,TEN0038,VEN0004,6554000,2024-07-25,2024-12-04
CON0039,TEN0039,VEN0019,11235000,2023-01-08,2023-08-30
CON0040,TEN0040,VEN0098,945000,2024-06-13,2024-07-14
CON0041,TEN0041,VEN0044,3353000,2021-04-16,2021-07-19
CON0042,TEN0042,VEN0028,3497000,2023-04-27,2023-12-29
CON0043,TEN0043,VEN0038,1080000,2021-08-12,2021-11-29
CON0044,TEN0044,VEN0111,669000,2022-04-05,2023-01-11
CON0045,TEN0045,VEN0014,1619000,2023-08-28,2023-10-16
CON0046,TEN0046,VEN0099,552000,2024-11-28,2025-01-08
CON0047,TEN0047,VEN0085,1042000,2023-11-14,2023-12-18
CON0048,TEN0048,VEN0103,5707000,2023-09-17,2024-03-18
CON0049,TEN0049,VEN0004,5043000,2024-04-03,2024-09-28
CON0050,TEN0050,VEN0094,4227000,2022-05-11,2022-11-30
CON0051,TEN0051,VEN0083,12835000,2024-02-18,2025-09-30
CON0052,TEN0052,VEN0098,168000,2024-06-25,2024-08-09
CON0053,TEN0053,VEN0110,1312000,2024-07-02,2024-09-03
CON0054,TEN0054,VEN0058,36926000,2022-04-20,2023-10-28
CON0055,TEN0055,VEN0024,6263000,2023-10-21,2023-12-29
CON0056,TEN0056,VEN0115,4142000,2021-07-31,2021-12-13
CON0057,TEN0057,VEN0102,36127000,2024-02-26,2025-01-29
CON0058,TEN0058,VEN0096,12168000,2023-10-13,2024-08-10
