tender_id,department,tender_category,tender_title,estimated_value,tender_date,submission_deadline,contract_duration_days,procurement_method,location
TEN0001,Education,Office Supplies,Printer and Consumables Supply - Education,823000,2024-05-24,2024-07-09,91,Open Tender,Meridian City
TEN0002,Transport,Medical Supplies,Hospital Consumables Supply - Transport,3844000,2024-11-18,2025-01-01,52,Single Vendor,Fairhaven
TEN0003,Education,Construction,Bridge Construction - Education,15891000,2022-02-12,2022-03-02,420,Open Tender,Northgate
TEN0004,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,12677000,2021-05-24,2021-07-17,342,Limited Tender,Eastwood
TEN0005,Education,IT Services,Software Development Services - Education,6580000,2023-12-30,2024-01-17,170,Framework Agreement,Eastwood
TEN0006,Public Works,Medical Supplies,Ambulance Procurement - Public Works,4475000,2023-04-25,2023-06-19,144,Limited Tender,Meridian City
TEN0007,Health,IT Services,IT Infrastructure Upgrade - Health,4755000,2023-02-18,2023-03-21,271,Open Tender,Fairhaven
TEN0008,IT & Digital Services,Medical Supplies,Medical Equipment Supply - IT & Digital Services,9479000,2023-11-07,2024-01-02,78,Limited Tender,Lakeside
TEN0009,Education,IT Services,Network Maintenance Services - Education,12863000,2023-10-28,2023-11-30,141,Framework Agreement,Meridian City
TEN0010,Education,IT Services,Network Maintenance Services - Education,2719000,2023-10-10,2023-11-15,353,Open Tender,Meridian City
TEN0011,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,13168000,2021-07-23,2021-09-18,275,Open Tender,Rosedale
TEN0012,Health,Consulting,Technical Consulting Services - Health,3684000,2022-04-27,2022-06-26,354,Open Tender,Lakeside
TEN0013,IT & Digital Services,Medical Supplies,Medical Equipment Supply - IT & Digital Services,1889000,2021-12-04,2021-12-19,62,Open Tender,Meridian City
TEN0014,Transport,Medical Supplies,Hospital Consumables Supply - Transport,9128000,2021-04-02,2021-05-16,163,Open Tender,Rosedale
TEN0015,Health,IT Services,Network Maintenance Services - Health,11547000,2024-08-15,2024-10-02,283,Framework Agreement,Meridian City
TEN0016,Health,IT Services,Data Center Setup - Health,7905000,2021-08-31,2021-10-15,319,Open Tender,Lakeside
TEN0017,Health,Office Supplies,Office Equipment Procurement - Health,1137000,2023-04-12,2023-05-06,91,Open Tender,Meridian City
TEN0018,Education,Medical Supplies,Pharmaceutical Supply - Education,1254000,2023-11-23,2023-12-17,132,Open Tender,Brookfield
TEN0019,Transport,IT Services,Data Center Setup - Transport,2582000,2021-02-27,2021-04-16,255,Limited Tender,Brookfield
TEN0020,Education,Medical Supplies,Pharmaceutical Supply - Education,3915000,2023-09-11,2023-09-30,93,Open Tender,Rosedale
TEN0021,Public Works,Medical Supplies,Pharmaceutical Supply - Public Works,7564000,2024-11-23,2025-01-07,44,Limited Tender,Fairhaven
TEN0022,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,1551000,2024-04-16,2024-05-25,67,Open Tender,Brookfield
TEN0023,Health,Medical Supplies,Medical Equipment Supply - Health,5109000,2022-05-26,2022-07-23,102,Framework Agreement,Rosedale
TEN0024,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,1404000,2021-09-07,2021-09-29,119,Limited Tender,Northgate
TEN0025,Public Works,Consulting,Technical Consulting Services - Public Works,4706000,2023-04-29,2023-06-16,292,Open Tender,Fairhaven
TEN0026,Health,Medical Supplies,Medical Equipment Supply - Health,783000,2023-05-09,2023-06-28,103,Limited Tender,Northgate
TEN0027,Transport,Consulting,Financial Audit Services - Transport,6072000,2023-08-20,2023-10-06,103,Open Tender,Meridian City
TEN0028,Health,Construction,Government Building Renovation - Health,36464000,2024-02-14,2024-03-06,454,Limited Tender,Fairhaven
TEN0029,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,3832000,2023-09-16,2023-10-24,155,Limited Tender,Rosedale
TEN0030,Education,Consulting,Technical Consulting Services - Education,2038000,2023-06-17,2023-07-16,123,Limited Tender,Meridian City
TEN0031,Education,Consulting,Training and Capacity Building - Education,7830000,2022-09-23,2022-10-23,267,Open Tender,Northgate
TEN0032,Public Works,Office Supplies,Office Equipment Procurement - Public Works,726000,2023-10-29,2023-11-23,40,Open Tender,Fairhaven
TEN0033,Education,Office Supplies,Stationery Supply - Education,1338000,2024-04-04,2024-04-27,52,Open Tender,Eastwood
TEN0034,Health,Construction,Bridge Construction - Health,14782000,2021-01-25,2021-03-12,683,Limited Tender,Eastwood
TEN0035,Education,Consulting,Technical Consulting Services - Education,5199000,2024-12-19,2025-01-24,161,Open Tender,Northgate
TEN0036,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,744000,2021-09-13,2021-10-26,213,Open Tender,Northgate
TEN0037,Public Works,Construction,Road Construction Project - Public Works,5560000,2024-10-25,2024-12-17,223,Limited Tender,Lakeside
TEN0038,IT & Digital Services,Medical Supplies,Pharmaceutical Supply - IT & Digital Services,8376000,2024-05-28,2024-07-03,132,Open Tender,Clearwater
TEN0039,Health,Consulting,Training and Capacity Building - Health,7623000,2022-10-14,2022-12-12,234,Open Tender,Meridian City
TEN0040,Education,Office Supplies,Stationery Supply - Education,1092000,2024-05-08,2024-06-05,31,Open Tender,Northgate
TEN0041,Education,IT Services,Network Maintenance Services - Education,3579000,2021-02-21,2021-03-30,94,Open Tender,Northgate
TEN0042,Education,Consulting,Policy Advisory Services - Education,3823000,2023-03-22,2023-04-19,246,Single Vendor,Clearwater
TEN0043,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,1122000,2021-06-22,2021-07-29,109,Single Vendor,Brookfield
TEN0044,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,758000,2022-02-04,2022-03-27,281,Open Tender,Brookfield
TEN0045,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1809000,2023-07-21,2023-08-11,49,Framework Agreement,Fairhaven
TEN0046,Education,Office Supplies,Printer and Consumables Supply - Education,603000,2024-09-24,2024-11-05,41,Limited Tender,Fairhaven
TEN0047,Transport,Office Supplies,Printer and Consumables Supply - Transport,1389000,2023-10-09,2023-10-29,34,Open Tender,Meridian City
TEN0048,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,6495000,2023-08-12,2023-09-09,183,Open Tender,Fairhaven
TEN0049,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,6724000,2024-02-05,2024-03-19,178,Framework Agreement,Eastwood
TEN0050,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,5268000,2022-03-18,2022-04-18,203,Open Tender,Meridian City
TEN0051,Public Works,Construction,Bridge Construction - Public Works,16776000,2024-01-01,2024-01-23,590,Open Tender,Meridian City
TEN0052,Public Works,Office Supplies,Stationery Supply - Public Works,211000,2024-05-16,2024-06-08,45,Single Vendor,Northgate
TEN0053,Education,Office Supplies,Printer and Consumables Supply - Education,1480000,2024-04-07,2024-06-03,63,Open Tender,Brookfield
TEN0054,Public Works,Construction,Government Building Renovation - Public Works,42362000,2022-03-08,2022-04-05,556,Single Vendor,Clearwater
TEN0055,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,7350000,2023-08-28,2023-10-13,69,Single Vendor,Fairhaven
TEN0056,Transport,Medical Supplies,Hospital Consumables Supply - Transport,4367000,2021-06-23,2021-07-21,135,Framework Agreement,Northgate
TEN0057,Public Works,Construction,Drainage System Upgrade - Public Works,43910000,2023-12-21,2024-02-06,338,Open Tender,Brookfield
TEN0058,Public Works,IT Services,Data Center Setup - Public Works,13188000,2023-08-26,2023-10-04,302,Limited Tender,Northgate
TEN0059,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,13923000,2022-09-11,2022-10-02,319,Open Tender,Northgate
TEN0060,Health,IT Services,Software Development Services - Health,13787000,2023-08-15,2023-10-05,125,Limited Tender,Meridian City
TEN0061,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,7883000,2024-05-13,2024-06-07,126,Limited Tender,Rosedale
TEN0062,Health,IT Services,Software Development Services - Health,8717000,2024-01-24,2024-03-22,342,Open Tender,Northgate
TEN0063,Transport,Office Supplies,Office Equipment Procurement - Transport,1138000,2022-08-11,2022-09-15,77,Open Tender,Meridian City
TEN0064,Education,Office Supplies,Office Furniture Supply - Education,787000,2024-04-04,2024-05-24,87,Limited Tender,Clearwater
TEN0065,Transport,Medical Supplies,Pharmaceutical Supply - Transport,9627000,2023-10-06,2023-11-04,33,Open Tender,Northgate
TEN0066,Public Works,Medical Supplies,Ambulance Procurement - Public Works,802000,2023-05-28,2023-07-02,162,Limited Tender,Clearwater
TEN0067,Transport,Office Supplies,Stationery Supply - Transport,619000,2022-11-12,2022-12-28,104,Open Tender,Meridian City
TEN0068,Education,Office Supplies,Stationery Supply - Education,1969000,2021-06-26,2021-07-17,40,Open Tender,Rosedale
TEN0069,Public Works,Construction,Government Building Renovation - Public Works,3531000,2021-04-14,2021-05-20,569,Open Tender,Meridian City
TEN0070,Education,IT Services,IT Infrastructure Upgrade - Education,3331000,2024-10-09,2024-11-29,115,Open Tender,Fairhaven
TEN0071,Transport,Construction,Road Construction Project - Transport,37341000,2024-09-24,2024-11-17,629,Open Tender,Rosedale
TEN0072,Public Works,IT Services,Software Development Services - Public Works,4699000,2022-07-29,2022-08-14,233,Open Tender,Rosedale
TEN0073,Education,Office Supplies,Office Equipment Procurement - Education,447000,2021-10-10,2021-10-28,47,Open Tender,Meridian City
TEN0074,Health,IT Services,IT Infrastructure Upgrade - Health,10140000,2024-12-07,2024-12-22,68,Single Vendor,Brookfield
TEN0075,Transport,Office Supplies,Office Furniture Supply - Transport,684000,2022-08-07,2022-09-11,108,Single Vendor,Eastwood
TEN0076,Education,IT Services,Network Maintenance Services - Education,2801000,2022-08-24,2022-09-23,296,Framework Agreement,Clearwater
