vendor_id,vendor_name,vendor_category,registered_city,registration_date,address_group_id,contact_group_id
VEN0001,Ironclad Builders & Co.,Construction,Eastwood,2019-02-03,ADDR_SOLO001,CONTACT_SOLO001
VEN0002,Trueline Supplies & Co.,Office Supplies,Lakeside,2020-12-07,ADDR_SOLO002,CONTACT_SOLO002
VEN0003,Summit Supplies & Co.,Office Supplies,Rosedale,2016-04-12,ADDR_SOLO003,CONTACT_SOLO003
VEN0004,Unity Pharma & Co.,Medical Supplies,Rosedale,2023-10-29,ADDR_SOLO004,CONTACT_SOLO004
VEN0005,Summit Pharma Enterprises,Medical Supplies,Rosedale,2021-08-13,ADDR_SOLO005,CONTACT_SOLO005
VEN0006,Silverline Partners Pvt Ltd,Consulting,Lakeside,2013-02-15,ADDR_SOLO006,CONTACT_SOLO006
VEN0007,Silverline Infrastructure Inc.,Construction,Eastwood,2020-01-26,ADDR_SHARED3,CONTACT_SOLO007
VEN0008,Crestline Stationery Group,Office Supplies,Rosedale,2020-12-16,ADDR_SOLO007,CONTACT_SOLO008
VEN0009,Apex Solutions Pvt Ltd,IT Services,Northgate,2015-01-03,ADDR_SOLO008,CONTACT_SOLO009
VEN0010,Crestline Contractors Pvt Ltd,Construction,Northgate,2021-01-27,ADDR_SOLO009,CONTACT_SOLO010
VEN0011,Meridian MedSupplies Inc.,Medical Supplies,Brookfield,2023-06-24,ADDR_SOLO010,CONTACT_SHARED4
VEN0012,Northgate Advisory & Co.,Consulting,Eastwood,2022-04-04,ADDR_SOLO011,CONTACT_SOLO011
VEN0013,Anchor Traders & Co.,Office Supplies,Meridian City,2021-06-09,ADDR_SOLO012,CONTACT_SHARED4
VEN0014,National Supplies & Co.,Office Supplies,Meridian City,2019-07-09,ADDR_SOLO013,CONTACT_SHARED3
VEN0015,Ironclad Stationery Group,Office Supplies,Lakeside,2014-01-22,ADDR_SOLO014,CONTACT_SOLO012
VEN0016,Sunrise Stationery Ltd,Office Supplies,Meridian City,2021-12-06,ADDR_SOLO015,CONTACT_SOLO013
VEN0017,Silverline Healthcare Pvt Ltd,Medical Supplies,Eastwood,2015-06-19,ADDR_SOLO016,CONTACT_SOLO014
VEN0018,Summit Contractors Enterprises,Construction,Northgate,2017-12-25,ADDR_SOLO017,CONTACT_SOLO015
VEN0019,Prime Advisory Enterprises,Consulting,Meridian City,2014-09-19,ADDR_SOLO018,CONTACT_SHARED3
VEN0020,Vanguard Health & Co.,Medical Supplies,Clearwater,2014-09-12,ADDR_SOLO019,CONTACT_SOLO016
VEN0021,Cornerstone Healthcare Group,Medical Supplies,Meridian City,2012-05-13,ADDR_SOLO020,CONTACT_SOLO017
VEN0022,Prime Software Group,IT Services,Northgate,2024-06-02,ADDR_SOLO021,CONTACT_SOLO018
VEN0023,Vanguard Infrastructure Ltd,Construction,Meridian City,2012-03-20,ADDR_SOLO022,CONTACT_SOLO019
VEN0024,Silverline Partners & Co.,Consulting,Meridian City,2011-04-18,ADDR_SOLO023,CONTACT_SOLO020
VEN0025,Unity Stationery Inc.,Office Supplies,Meridian City,2024-01-17,ADDR_SOLO024,CONTACT_SOLO021
VEN0026,Summit Stationery Pvt Ltd,Office Supplies,Meridian City,2018-04-29,ADDR_SOLO025,CONTACT_SOLO022
VEN0027,Silverline Health Group,Medical Supplies,Meridian City,2016-07-27,ADDR_SHARED1,CONTACT_SOLO023
VEN0028,Cornerstone Advisory Enterprises,Consulting,Meridian City,2021-01-23,ADDR_SOLO026,CONTACT_SOLO024
VEN0029,Trueline MedSupplies Enterprises,Medical Supplies,Lakeside,2015-10-02,ADDR_SHARED4,CONTACT_SOLO025
VEN0030,Apex MedSupplies Enterprises,Medical Supplies,Lakeside,2011-12-02,ADDR_SOLO027,CONTACT_SOLO026
VEN0031,Northgate Pharma Enterprises,Medical Supplies,Rosedale,2020-12-11,ADDR_SOLO028,CONTACT_SOLO027
VEN0032,Ironclad Technologies Ltd,IT Services,Northgate,2012-08-22,ADDR_SOLO029,CONTACT_SOLO028
VEN0033,Summit Construction Group,Construction,Fairhaven,2018-04-18,ADDR_SHARED3,CONTACT_SOLO029
VEN0034,Regional Healthcare Enterprises,Medical Supplies,Eastwood,2024-03-27,ADDR_SOLO030,CONTACT_SOLO030
VEN0035,Silverline Associates & Co.,Consulting,Eastwood,2024-01-17,ADDR_SOLO031,CONTACT_SOLO031
VEN0036,Everest Construction Group,Construction,Meridian City,2015-05-31,ADDR_SOLO032,CONTACT_SOLO032
VEN0037,Meridian Consulting Enterprises,Consulting,Northgate,2021-09-15,ADDR_SOLO033,CONTACT_SOLO033
